Date,USDDR,JPYDR,USDJPYDRRatio,USDJPYEXClose
4/5/19,2.50%,-0.10%,-25,111.73
4/6/19,2.50%,-0.10%,-25,111.73
4/7/19,2.50%,-0.10%,-25,111.71
4/8/19,2.50%,-0.10%,-25,111.47
4/9/19,2.50%,-0.10%,-25,111.12
4/10/19,2.50%,-0.10%,-25,111
4/11/19,2.50%,-0.10%,-25,111.65
4/12/19,2.50%,-0.10%,-25,112.02
4/13/19,2.50%,-0.10%,-25,112.02
4/14/19,2.50%,-0.10%,-25,112.05
4/15/19,2.50%,-0.10%,-25,112.03
4/16/19,2.50%,-0.10%,-25,111.99
4/17/19,2.50%,-0.10%,-25,112.05
4/18/19,2.50%,-0.10%,-25,111.96
4/19/19,2.50%,-0.10%,-25,111.91
4/20/19,2.50%,-0.10%,-25,111.91
4/21/19,2.50%,-0.10%,-25,111.91
4/22/19,2.50%,-0.10%,-25,111.93
4/23/19,2.50%,-0.10%,-25,111.86
4/24/19,2.50%,-0.10%,-25,112.17
4/25/19,2.50%,-0.10%,-25,111.62
4/26/19,2.50%,-0.10%,-25,111.58
4/27/19,2.50%,-0.10%,-25,111.58
4/28/19,2.50%,-0.10%,-25,111.6
4/29/19,2.50%,-0.10%,-25,111.63
4/30/19,2.50%,-0.10%,-25,111.41
5/1/19,2.50%,-0.10%,-25,111.37
5/2/19,2.50%,-0.10%,-25,111.5
5/3/19,2.50%,-0.10%,-25,111.09
5/4/19,2.50%,-0.10%,-25,111.09
5/5/19,2.50%,-0.10%,-25,110.82
5/6/19,2.50%,-0.10%,-25,110.76
5/7/19,2.50%,-0.10%,-25,110.24
5/8/19,2.50%,-0.10%,-25,110.1
5/9/19,2.50%,-0.10%,-25,109.75
5/10/19,2.50%,-0.10%,-25,109.94
5/11/19,2.50%,-0.10%,-25,109.94
5/12/19,2.50%,-0.10%,-25,109.66
5/13/19,2.50%,-0.10%,-25,109.3
5/14/19,2.50%,-0.10%,-25,109.59
5/15/19,2.50%,-0.10%,-25,109.58
5/16/19,2.50%,-0.10%,-25,109.84
5/17/19,2.50%,-0.10%,-25,110.07
5/18/19,2.50%,-0.10%,-25,110.07
5/19/19,2.50%,-0.10%,-25,110.12
5/20/19,2.50%,-0.10%,-25,110.05
5/21/19,2.50%,-0.10%,-25,110.49
5/22/19,2.50%,-0.10%,-25,110.34
5/23/19,2.50%,-0.10%,-25,109.59
5/24/19,2.50%,-0.10%,-25,109.29
5/25/19,2.50%,-0.10%,-25,109.29
5/26/19,2.50%,-0.10%,-25,109.38
5/27/19,2.50%,-0.10%,-25,109.5
5/28/19,2.50%,-0.10%,-25,109.36
5/29/19,2.50%,-0.10%,-25,109.58
5/30/19,2.50%,-0.10%,-25,109.6
5/31/19,2.50%,-0.10%,-25,108.26
6/1/19,2.50%,-0.10%,-25,108.26
6/2/19,2.50%,-0.10%,-25,108.24
6/3/19,2.50%,-0.10%,-25,108.06
6/4/19,2.50%,-0.10%,-25,108.14
6/5/19,2.50%,-0.10%,-25,108.45
6/6/19,2.50%,-0.10%,-25,108.4
6/7/19,2.50%,-0.10%,-25,108.18
6/8/19,2.50%,-0.10%,-25,108.18
6/9/19,2.50%,-0.10%,-25,108.45
6/10/19,2.50%,-0.10%,-25,108.43
6/11/19,2.50%,-0.10%,-25,108.5
6/12/19,2.50%,-0.10%,-25,108.49
6/13/19,2.50%,-0.10%,-25,108.37
6/14/19,2.50%,-0.10%,-25,108.55
6/15/19,2.50%,-0.10%,-25,108.55
6/16/19,2.50%,-0.10%,-25,108.54
6/17/19,2.50%,-0.10%,-25,108.55
6/18/19,2.50%,-0.10%,-25,108.44
6/19/19,2.50%,-0.10%,-25,108.09
6/20/19,2.25%,-0.10%,-22.5,107.29
6/21/19,2.25%,-0.10%,-22.5,107.3
6/22/19,2.25%,-0.10%,-22.5,107.3
6/23/19,2.25%,-0.10%,-22.5,107.33
6/24/19,2.25%,-0.10%,-22.5,107.28
6/25/19,2.25%,-0.10%,-22.5,107.17
6/26/19,2.25%,-0.10%,-22.5,107.77
6/27/19,2.25%,-0.10%,-22.5,107.78
6/28/19,2.25%,-0.10%,-22.5,107.88
6/29/19,2.25%,-0.10%,-22.5,107.88
6/30/19,2.25%,-0.10%,-22.5,108.38
7/1/19,2.25%,-0.10%,-22.5,108.43
7/2/19,2.25%,-0.10%,-22.5,107.88
7/3/19,2.25%,-0.10%,-22.5,107.82
7/4/19,2.25%,-0.10%,-22.5,107.79
7/5/19,2.25%,-0.10%,-22.5,108.45
7/6/19,2.25%,-0.10%,-22.5,108.45
7/7/19,2.25%,-0.10%,-22.5,108.5
7/8/19,2.25%,-0.10%,-22.5,108.71
7/9/19,2.25%,-0.10%,-22.5,108.84
7/10/19,2.25%,-0.10%,-22.5,108.46
7/11/19,2.25%,-0.10%,-22.5,108.48
7/12/19,2.25%,-0.10%,-22.5,107.89
7/13/19,2.25%,-0.10%,-22.5,107.89
7/14/19,2.25%,-0.10%,-22.5,107.88
7/15/19,2.25%,-0.10%,-22.5,107.9
7/16/19,2.25%,-0.10%,-22.5,108.22
7/17/19,2.25%,-0.10%,-22.5,107.94
7/18/19,2.25%,-0.10%,-22.5,107.29
7/19/19,2.25%,-0.10%,-22.5,107.7
7/20/19,2.25%,-0.10%,-22.5,107.7
7/21/19,2.25%,-0.10%,-22.5,107.79
7/22/19,2.25%,-0.10%,-22.5,107.86
7/23/19,2.25%,-0.10%,-22.5,108.21
7/24/19,2.25%,-0.10%,-22.5,108.17
7/25/19,2.25%,-0.10%,-22.5,108.62
7/26/19,2.25%,-0.10%,-22.5,108.66
7/27/19,2.25%,-0.10%,-22.5,108.66
7/28/19,2.25%,-0.10%,-22.5,108.59
7/29/19,2.25%,-0.10%,-22.5,108.77
7/30/19,2.25%,-0.10%,-22.5,108.59
7/31/19,2.25%,-0.10%,-22.5,108.74
8/1/19,2.25%,-0.10%,-22.5,107.33
8/2/19,2.25%,-0.10%,-22.5,106.58
8/3/19,2.25%,-0.10%,-22.5,106.58
8/4/19,2.25%,-0.10%,-22.5,106.56
8/5/19,2.25%,-0.10%,-22.5,105.94
8/6/19,2.25%,-0.10%,-22.5,106.47
8/7/19,2.25%,-0.10%,-22.5,106.26
8/8/19,2.25%,-0.10%,-22.5,106.06
8/9/19,2.25%,-0.10%,-22.5,105.66
8/10/19,2.25%,-0.10%,-22.5,105.66
8/11/19,2.25%,-0.10%,-22.5,105.37
8/12/19,2.25%,-0.10%,-22.5,105.29
8/13/19,2.25%,-0.10%,-22.5,106.73
8/14/19,2.25%,-0.10%,-22.5,105.89
8/15/19,2.25%,-0.10%,-22.5,106.11
8/16/19,2.25%,-0.10%,-22.5,106.36
8/17/19,2.25%,-0.10%,-22.5,106.36
8/18/19,2.25%,-0.10%,-22.5,106.44
8/19/19,2.25%,-0.10%,-22.5,106.62
8/20/19,2.25%,-0.10%,-22.5,106.22
8/21/19,2.25%,-0.10%,-22.5,106.61
8/22/19,2.25%,-0.10%,-22.5,106.42
8/23/19,2.25%,-0.10%,-22.5,105.39
